π;ÔÓÎ; À¿——;¬”«;’Œ¡¡»;“≈—“1;“≈—“2;“≈—“3;“≈—“4;“≈—“5;Œ“Ã≈“ ¿1;Œ“Ã≈“ ¿2
1;2;2;4;3;6;7;13;10;14;3,9;4,2
2;2;1;4;1;8;9;10;11;11;3,55;3,95
3;2;3;3;2;10;6;10;8;9;3,75;4,65
4;1;3;1;2;13;9;10;12;6;3,85;3,95
5;2;2;3;3;12;8;12;18;12;4,2;3,9
6;1;3;2;3;12;15;17;11;11;4,25;4,25
7;1;3;2;3;6;7;11;16;13;4,45;4,35
8;1;1;1;2;13;11;10;10;10;3,8;3,9
9;1;2;4;3;9;12;14;9;15;3,9;4
10;1;3;2;3;5;9;13;13;12;4,25;3,75
11;2;3;2;2;14;12;8;8;6;4,25;4,25
12;1;2;2;2;12;9;11;8;10;3,8;3,8
13;1;2;2;3;8;10;11;13;12;4,1;4,3
14;1;3;3;3;10;10;11;10;12;3,95;4,55
15;1;3;2;2;10;8;12;11;11;4,25;4,55
16;1;2;4;2;14;14;13;10;15;4,3;4,3
17;2;1;4;1;13;8;10;7;16;3,65;3,55
18;2;3;4;1;10;12;13;13;12;4,1;4
19;2;2;4;1;14;15;11;11;16;3,55;3,95
20;2;1;4;1;13;8;13;14;10;3,45;4,15
21;2;1;4;1;13;10;8;11;13;3,85;4,55
22;2;2;4;1;10;10;17;15;18;3,75;4,15
23;1;3;2;2;11;12;12;12;11;3,95;4,25
24;2;1;2;1;8;9;4;8;5;4,15;3,95
25;1;1;1;3;10;9;9;13;10;3,8;3,9
26;1;3;1;1;9;14;15;10;11;4;4
27;1;1;4;3;15;9;15;10;14;3,8;4
28;2;1;2;1;7;10;12;8;12;3,55;3,95
29;2;2;4;2;12;16;7;4;7;3,9;4,4
30;2;1;1;2;15;15;9;10;7;4,3;4,2
31;1;2;1;3;10;9;15;14;11;4;3,9
32;2;3;1;2;9;8;8;13;8;4,25;4,45
33;1;1;1;1;4;5;11;11;10;3,3;3,85
34;1;3;4;3;13;14;11;13;14;3,75;4,45
35;1;3;2;2;12;4;16;13;14;4,75;4,75
36;2;1;3;3;13;13;13;12;13;4;4,2
37;2;1;2;1;14;6;14;9;8;4,05;3,75
38;1;3;3;3;13;11;14;14;12;4,15;4,55
